race,clan,gender,forename,surname,full_name,age,education,socio_economic_rank,disabilities,base_openness,base_conscientiousness,base_extraversion,base_agreeableness,base_neuroticism,refined_openness,refined_conscientiousness,refined_extraversion,refined_agreeableness,refined_neuroticism,motivation_academic_drive,motivation_values_based_motivation,motivation_career_focus,motivation_cultural_experience,motivation_personal_growth,motivation_social_connection,motivation_intellectual_curiosity,motivation_practical_skills,student_id,program_code,program_name,faculty,department,year1_modules,num_year1_modules,clan_affinity,selection_probability
Dwarf,sandstone,female,Freya,Bridgeglen,Freya Bridgeglen,18,academic,8,,0.7671931725942925,0.5468107434019931,0.8503772857785816,0.7075003970015021,0.4738677334209726,0.9171931725942924,0.596810743401993,0.9003772857785816,0.7075003970015021,0.6238677334209727,0.7059291206260289,0.7445978461108665,0.5712624938317246,0.9473585486503155,0.8106917827573559,0.7848342377508744,0.6895478263463338,0.6633711784063235,115,4.4.42,Consensus Systems in Hybrid Societies,Faculty of Living Lore,Political Myth and Governance,"Foundations of Consensus: Song, Circle, and Signal,Polylogic: Speaking Across Worlds and Logics",2,0.2,0.21029645603130145
Elf,ash,female,Saelith,Cinderwake,Saelith Cinderwake,18,academic,2,blind_or_visually_impaired,0.8044059039724046,0.7820549573756248,0.5140357534915305,0.4958956165876187,0.5314530149999066,1.0,0.8320549573756247,0.7140357534915305,0.4958956165876187,0.4814530149999066,0.8462399256387463,0.6187353726076413,0.6801416873782137,0.854436708789448,0.8893514450171419,0.6153186188680971,0.90094954718541,0.548269825244699,116,4.2.37,Storyweaving & Community Histories,Faculty of Living Lore,Oral Histories and Memorycraft,"Oral Histories: Ethics, Skills, and Power Dynamics,The Storyweaver’s Craft: Listening, Shaping, Returning",2,0.4,0.4505891088918545
Dwarf,bismuth,female,Tirra,Glimmerlock,Tirra Glimmerlock,18,academic,5,no_known_disabilities,0.912859682345568,0.5593882055052796,0.7032314213684884,0.6285373711546387,0.6194489392129416,1.0,0.6093882055052795,0.8032314213684884,0.6285373711546387,0.6694489392129417,0.8517386113521814,0.5147674501374411,0.6989758463923208,0.958311013032374,0.829031059494461,0.7488343984387427,0.9018709147615638,0.6122667676763208,117,4.2.37,Storyweaving & Community Histories,Faculty of Living Lore,Oral Histories and Memorycraft,"Oral Histories: Ethics, Skills, and Power Dynamics,The Storyweaver’s Craft: Listening, Shaping, Returning",2,0.85,0.899386817718202
Elf,palm,male,Jaro,Palmshadow,Jaro Palmshadow,18,vocational,6,,0.7363209463439858,0.6340567805448984,0.9494057055628464,0.657339626534669,0.4378952458978717,0.8363209463439858,0.6840567805448984,1.0,0.657339626534669,0.4878952458978717,0.7598947971742662,0.7262122217724392,0.4570903094568951,0.9089755855810854,0.7489935828482548,0.8852491416302039,0.7996622912339822,0.8028811393915136,118,2.3.22,Mediation,Faculty of Hearth and Transformation,Hospitality and Conflict Holding,"Foundations of Mediation and Dialogue,Listening Between: Power, Culture, Emotion",2,0.9,0.9129947398587134
Dwarf,malachite,male,Tovik,Stonebrow,Tovik Stonebrow,18,no_qualifications,3,"physical_disability,specific_learning_disability",0.7258882148420431,0.7126556180672685,0.4118175501078458,0.7721849598207031,0.3178685326679537,0.7758882148420431,0.5626556180672685,0.5118175501078458,0.7721849598207031,0.6178685326679538,0.816239274361968,0.8348044615557046,0.5883570284938096,0.7946524069217956,0.8887185825568726,0.6460454667814898,0.7728046356863167,0.9288613586387124,119,2.3.23,Hospitality as Praxis,Faculty of Hearth and Transformation,Hospitality and Conflict Holding,"Histories and Futures of Hospitality,The Host as Educator and Healer",2,0.6,0.6158119637180983
Elf,ash,female,Emberyn,Stormbark,Emberyn Stormbark,18,academic,6,no_known_disabilities,0.6250574744040056,0.5633377827674112,0.7257405012759484,0.4153881546943647,0.5477606142142868,0.8250574744040056,0.6133377827674111,0.8257405012759483,0.4153881546943647,0.5977606142142868,0.7289069471599138,0.7309715538970325,0.6443539577296671,0.7770936687554484,0.8714799681314456,0.7983998827716499,0.9012127307203855,0.600519939561139,120,4.2.37,Storyweaving & Community Histories,Faculty of Living Lore,Oral Histories and Memorycraft,"Oral Histories: Ethics, Skills, and Power Dynamics,The Storyweaver’s Craft: Listening, Shaping, Returning",2,0.4,0.4671165528752938
Dwarf,flint,female,Tilda,Rubbletoe,Tilda Rubbletoe,18,no_qualifications,6,"mental_health_disability,adhd",0.4423322782064053,0.7636746365376199,0.531677463792992,0.3135883930839232,0.4969157578154302,0.4923322782064053,0.4636746365376199,0.531677463792992,0.3135883930839232,0.9969157578154304,0.5266759130961273,0.6152914158473569,0.7838153549391825,0.6004266635359613,0.649446505571642,0.6966261132237932,0.4062929761448702,0.8608108932382885,121,2.2.18,Herbal Practice and Energy Work,Faculty of Hearth and Transformation,Healing and Embodied Knowledge,"Plant Allies: Identification, Ethics, and Harvesting,Introduction to Energy Work: Hands, Breath, Field",2,0.8,0.8297153311487246
Dwarf,flint,female,Tanni,Brickgrind,Tanni Brickgrind,18,vocational,5,adhd,0.6455141274338605,0.6120416577256099,0.7669740129088588,0.597588824171593,0.3882202386530333,0.8455141274338605,0.5120416577256098,0.9669740129088588,0.597588824171593,0.5382202386530334,0.5299228765633608,0.5925356907313233,0.8311764821602411,0.5257818423897849,0.7422577045897103,0.6166972480856838,0.6221504637297222,0.9132659058419152,122,2.2.19,Integrated Mind-Body,Faculty of Hearth and Transformation,Healing and Embodied Knowledge,"Embodied Learning: Movement, Stillness, Attention,Foundations of Somatic Awareness",2,0.55,0.551496143828168
Dwarf,sandstone,female,Ilyra,Cartvale,Ilyra Cartvale,18,vocational,4,,0.810414985667907,0.534032245131175,0.8990727655768066,0.6550357203450687,0.3782425588269372,0.910414985667907,0.5840322451311749,0.9990727655768066,0.6550357203450687,0.4282425588269372,0.5581735318243534,0.6204404034794239,0.5767523323363892,0.875334402504899,0.8090055690074884,0.7754044125857299,0.8010827681035065,0.7673059383332855,123,2.1.16,Listening Circles Facilitation,Faculty of Hearth and Transformation,"Education, Eldership, and Mentoring","Deep Listening: Practices from Many Traditions,Circle Structures: Time, Space, and Agreement",2,0.85,0.8529086765912176
Dwarf,obsidian,female,Lyra,Palechant,Lyra Palechant,18,academic,5,specific_learning_disability,0.8744581963762925,0.8700792333606211,0.5376573584405028,0.6029083203618172,0.503889954718543,1.0,0.820079233360621,0.6376573584405028,0.6029083203618172,0.653889954718543,0.8461707579851342,0.8765944986586265,0.6915232242924985,0.7868404772748852,0.8655151172290726,0.5343739009105225,0.9593408800157736,0.5659541885390825,124,4.1.33,Ancient Tongues and Translation,Faculty of Living Lore,Language and Symbol,"Introduction to Ancient Lexicons: Form, Function, Power,Script and Sound: Orthography Through Time",2,0.6,0.6173085378992567
Dwarf,malachite,male,Garrun,Ingotroot,Garrun Ingotroot,18,academic,4,,0.6444652386297973,0.7230246885498974,0.644582899327168,0.8683213165945523,0.4470819262394568,0.8444652386297973,0.7730246885498974,0.7445828993271679,0.8683213165945523,0.4970819262394568,0.9055661101270496,0.9064042691186072,0.5776566977399732,0.741967923077218,0.7981073428014492,0.7222654449942408,0.9063578032465672,0.916147674514304,125,1.1.2,Mutual Aid and Guild Governance,Faculty of Applied Forging,Community Labour & Cooperative Innovation,"History of Mutual Aid and Guild Traditions,Foundations of Self-Governance",2,0.05,0.13822120127320295
Elf,holly,female,Elenna,Lorebloom,Elenna Lorebloom,18,academic,4,autistic_spectrum,0.8080266384168927,0.8751528740986129,0.526041633197879,0.8618578264696994,0.4499876975894365,1.0,0.95,0.426041633197879,0.8618578264696994,0.4999876975894365,0.7622064314065886,0.7475911654476938,0.5435966854922071,0.7634196184344165,0.8588689775268643,0.6393523217271369,0.8775548283691184,0.7910202506166949,126,4.1.33,Ancient Tongues and Translation,Faculty of Living Lore,Language and Symbol,"Introduction to Ancient Lexicons: Form, Function, Power,Script and Sound: Orthography Through Time",2,0.85,0.8631103215703294
Dwarf,flint,male,Hask,Oregrind,Hask Oregrind,22,academic,7,mental_health_disability,0.5958848974413526,0.6461758529348715,0.7931095029635529,0.4634316680948366,0.3407064953376837,0.5458848974413527,0.6961758529348715,0.5431095029635529,0.4634316680948366,0.7407064953376837,0.538398753152272,0.723219304236214,0.7460638914677554,0.5304278832418126,0.7850074643906256,0.5795746802635654,0.4407226917431049,0.9072990522824058,127,1.3.8,Hammercraft,Faculty of Applied Forging,Forge Arts and Metallurgy,"Hammer as Pedagogue: Rhythm, Impact, Intent,Embodied Skills Lab: Holding, Striking, Shaping",2,0.05,0.07652632680438914
Elf,yew,female,Saelith,Crownbark,Saelith Crownbark,18,academic,2,adhd,0.5498157564444609,0.715276166904908,0.5497908838042975,0.3319011892044681,0.3342419907928896,0.9498157564444608,0.6152761669049079,0.8497908838042975,0.3319011892044681,0.3842419907928896,0.6640217337147436,0.6882418026767635,0.7280055578128891,0.8229219084326121,0.7044538819061406,0.5837404846210421,0.7801058375640948,0.5229535068702866,128,4.3.39,Elven Ethics in Modern Governance,Faculty of Living Lore,Philosophy and Ethics,"Rooted Reasoning: Foundations of Elven Moral Thought,Harmonies and Hierarchies: Structures of Elven Governance",2,0.95,0.9697287033762279
Elf,palm,male,Kelren,Palmshadow,Kelren Palmshadow,18,academic,7,no_known_disabilities,0.8615739183841516,0.5730944837253046,0.7863702134308614,0.8409035644578962,0.4620836679562263,1.0,0.6230944837253045,0.8363702134308614,0.8409035644578962,0.6120836679562264,0.7013373864310295,0.8998209376694475,0.6411955922010455,0.9083788981285532,0.9381760339118408,0.8522888975577166,0.8250267237242305,0.803591523253916,129,1.1.2,Mutual Aid and Guild Governance,Faculty of Applied Forging,Community Labour & Cooperative Innovation,"History of Mutual Aid and Guild Traditions,Foundations of Self-Governance",2,0.45,0.5123584114610267
Dwarf,obsidian,female,Thalra,Obsidianmark,Thalra Obsidianmark,18,academic,2,adhd,0.8056640084472395,0.8986913500784426,0.3031480923419833,0.6685195866553737,0.3447422477819212,1.0,0.7986913500784425,0.6031480923419833,0.6685195866553737,0.3947422477819212,0.9656999606971792,0.8839264647223866,0.4740009290366272,0.7433875150632256,0.8799117396637803,0.4896563542343555,0.925532047226783,0.350301842424901,130,4.1.33,Ancient Tongues and Translation,Faculty of Living Lore,Language and Symbol,"Introduction to Ancient Lexicons: Form, Function, Power,Script and Sound: Orthography Through Time",2,0.6,0.6232849980348589
Dwarf,bismuth,female,Tirra,Notegrip,Tirra Notegrip,18,academic,2,no_known_disabilities,0.86212116023235,0.6873837579778412,0.6623341474636535,0.6815268555621615,0.4661462918244248,1.0,0.7373837579778412,0.8623341474636534,0.6815268555621615,0.4161462918244248,0.8834073919371489,0.6716649196906265,0.5568574733887895,0.8446735274537909,0.9178293216141504,0.5798314224725165,0.925854511567206,0.4423508008847504,131,4.2.37,Storyweaving & Community Histories,Faculty of Living Lore,Oral Histories and Memorycraft,"Oral Histories: Ethics, Skills, and Power Dynamics,The Storyweaver’s Craft: Listening, Shaping, Returning",2,0.85,0.9225702763122854
Dwarf,bismuth,female,Zellie,Colorpulse,Zellie Colorpulse,18,vocational,1,no_known_disabilities,0.8387155893740703,0.434062192697886,0.7752629028961234,0.7333433733375352,0.6467017334370542,1.0,0.484062192697886,0.9752629028961234,0.7333433733375352,0.5967017334370542,0.8054521679345096,0.801749862402408,0.4265453014682975,0.8309432518990466,0.884477962559741,0.5984880686109552,0.8583123832663367,0.4977501660190335,132,3.2.29,Intergenerational Learning,Faculty of Integrative Inquiry,Learning Futures,"Lifespan Learning: Cognitive, Emotional, and Social Perspectives,The Role of Elders, Children, and Peers in Knowledge Cultures",2,0.4,0.41527260839672553
Elf,holly,male,Caerel,Greenquill,Caerel Greenquill,18,no_qualifications,7,no_known_disabilities,0.6531246766191869,0.7246060472753422,0.5870161301668049,0.7798079175126497,0.5185968852709808,0.6531246766191868,0.6746060472753421,0.6370161301668048,0.7798079175126497,0.7185968852709809,0.8923220715549504,0.8941053438376233,0.5536617818921205,0.7020297902101035,0.7972470415204225,0.8093457467219922,0.7514908479376983,0.7572079960589688,133,1.5.14,Maintenance Rituals for Ancient Systems,Faculty of Applied Forging,Stonework and Structural Alchemy,"Histories of Dwarven Infrastructure,Listening to the System: Scent, Sound, Shift",2,0.05,0.06961610357774753
Dwarf,bismuth,male,Marn,Glimmerlock,Marn Glimmerlock,18,academic,4,requires_personal_care,0.8782826492236915,0.4203919899458211,0.5543676683149129,0.7871590890557705,0.6670414160340742,1.0,0.4703919899458211,0.6543676683149129,0.7871590890557705,0.7170414160340742,0.8501957764425024,0.6195648755991997,0.6177834864939533,0.8978634876725984,0.8678040181961824,0.797036210819503,0.9024781576271282,0.4701797803076359,134,3.3.32,Embodied Research Methods,Faculty of Integrative Inquiry,Transdisciplinary Design and Praxis,"The Body as Instrument, Archive, and Witness,Introduction to Embodied Inquiry Practices",2,0.9,0.9175097888221252
Elf,rowan,female,Elenna,Songroot,Elenna Songroot,18,academic,4,no_known_disabilities,0.7062997737052674,0.6064495566629489,0.8340637945606901,0.8409732302638505,0.2783487297532581,0.9062997737052674,0.6564495566629488,0.93406379456069,0.8409732302638505,0.3283487297532581,0.7204342087203915,0.8510628852875431,0.6961173253343605,0.8884945571652862,0.8349598755206458,0.8571196782286399,0.8657663598227973,0.5808044598451625,135,4.1.35,Multispecies Semantics,Faculty of Living Lore,Language and Symbol,"Foundations in Cross-Species Communication,Meaning Beyond Words: Gesture, Scent, Frequency",2,0.9,0.9110217104360196
Dwarf,sandstone,male,Korran,Dustline,Korran Dustline,18,academic,7,no_known_disabilities,0.7483563375361224,0.5365085920180017,0.7764280912816341,0.6948233051529792,0.3880905303586149,0.8983563375361223,0.5865085920180017,0.8264280912816341,0.6948233051529792,0.538090530358615,0.7404521556402502,0.7624622373335607,0.6201209589117291,0.7590788377394705,0.7119107322262463,0.8536106950006797,0.71732589293812,0.7676948276756441,136,4.2.37,Storyweaving & Community Histories,Faculty of Living Lore,Oral Histories and Memorycraft,"Oral Histories: Ethics, Skills, and Power Dynamics,The Storyweaver’s Craft: Listening, Shaping, Returning",2,0.5,0.570911640643532
Dwarf,granite,neuter,Varnim,Cragshield,Varnim Cragshield,18,academic,6,no_known_disabilities,0.5658513882167979,0.8687777843280523,0.569377191680039,0.5989081611169442,0.4037199813486912,0.7658513882167979,0.9187777843280522,0.669377191680039,0.5989081611169442,0.4537199813486912,0.6698794419214348,0.6724104210933545,0.8030754158184592,0.397961081634742,0.8195534458185512,0.6106184922855273,0.7069483030363344,0.7025548871586319,137,4.4.44,Narrative Governance and Institution Building,Faculty of Living Lore,Political Myth and Governance,"Institutions as Stories: Memory, Myth, Mechanism,Governance Through Narrative Form",2,0.9,0.950371750528877
Elf,holly,male,Emroth,Boughchant,Emroth Boughchant,18,vocational,3,other_neurodivergence,0.654737412195747,0.9413024096364336,0.4284551819601518,0.789605762526731,0.517833377803391,0.754737412195747,0.95,0.5284551819601518,0.789605762526731,0.567833377803391,0.8765432294551908,0.857274289589672,0.5276139598179469,0.7844905270357686,0.9061233622386008,0.6563285738904368,0.8879518860568049,0.5697217915585845,138,2.3.23,Hospitality as Praxis,Faculty of Hearth and Transformation,Hospitality and Conflict Holding,"Histories and Futures of Hospitality,The Host as Educator and Healer",2,0.8,0.8188271614727596
Dwarf,flint,female,Erla,Skarnsplit,Erla Skarnsplit,24,vocational,7,,0.6571692812109373,0.829395285115462,0.5440085342045544,0.5070968540702187,0.5835072193741706,0.5571692812109372,1.0,0.4440085342045544,0.5070968540702187,0.6335072193741705,0.7075519363654663,0.540215756437884,0.8365122719060779,0.6255106736855172,0.7090339004814898,0.5700952742610014,0.6676298722256547,0.8753287695055594,139,2.1.17,"Care, Craft and Continuity",Faculty of Hearth and Transformation,"Education, Eldership, and Mentoring","Theories of Care: Interdependence and Responsibility,Craft as Teaching: Making with Meaning",2,0.6,0.6440288240088811
Dwarf,flint,neuter,Doni,Chiselhand,Doni Chiselhand,18,vocational,2,no_known_disabilities,0.4583605099505452,0.8461656417767156,0.7029933904459542,0.490814202701738,0.4205379405328273,0.6583605099505452,0.8961656417767155,0.9029933904459542,0.490814202701738,0.3705379405328273,0.5374489199314436,0.5203562081165676,0.7247471006311134,0.6947346727378277,0.585757894562305,0.7488555789076151,0.6047245544766323,0.9691392554330388,140,2.2.19,Integrated Mind-Body,Faculty of Hearth and Transformation,Healing and Embodied Knowledge,"Embodied Learning: Movement, Stillness, Attention,Foundations of Somatic Awareness",2,0.55,0.5518724459965723
Dwarf,slate,male,Droven,Bluechalk,Droven Bluechalk,18,academic,7,no_known_disabilities,0.5632772011045752,0.9439447046372332,0.3107408581427613,0.5071577001979135,0.5032274853548326,0.7132772011045752,0.95,0.3607408581427613,0.5071577001979135,0.6532274853548327,0.7396241341685055,0.5264067021536487,0.7599085849751606,0.3913589251734243,0.7469620199195499,0.4399365085058564,0.6175840829354106,0.9344075173641424,141,4.3.40,Critical Power,Faculty of Living Lore,Philosophy and Ethics,"Power as Pattern: Visibility, Inheritance, Flow,Naming the Bindings: Ideology, Myth, and Control",2,0.9,0.9119812067084253
Elf,baobab,male,Aerion,Diademshade,Aerion Diademshade,18,academic,6,,0.6712284442877221,0.8718057286948284,0.658622842772979,0.3316215857868501,0.3661470321901177,0.8712284442877221,0.9218057286948284,0.758622842772979,0.3316215857868501,0.4161470321901176,0.8257487494881934,0.5047679500770009,0.8559857821927577,0.6001061453848843,0.6920241791301879,0.5507950791340412,0.6533556893215151,0.5326210686901905,142,2.1.17,"Care, Craft and Continuity",Faculty of Hearth and Transformation,"Education, Eldership, and Mentoring","Theories of Care: Interdependence and Responsibility,Craft as Teaching: Making with Meaning",2,0.05,0.10188601569368544
Elf,rowan,female,Liora,Storyfen,Liora Storyfen,18,vocational,2,blind_or_visually_impaired,0.916508918761439,0.5029732086473461,0.8334138919449597,0.8151834000604185,0.4966521623910989,1.0,0.552973208647346,1.0,0.8151834000604185,0.4466521623910989,0.870802059655498,0.7316379277730009,0.5642124904375911,0.9111747821461644,0.7967134722137222,0.8602279929648194,0.7874248540821004,0.5719621918304205,143,1.1.2,Mutual Aid and Guild Governance,Faculty of Applied Forging,Community Labour & Cooperative Innovation,"History of Mutual Aid and Guild Traditions,Foundations of Self-Governance",2,0.05,0.0970012166248096
Dwarf,flint,male,Jarn,Tunnelbrace,Jarn Tunnelbrace,18,academic,1,,0.6423596937051943,0.8212229832935839,0.6611123944225923,0.5519993281813029,0.4017968506967133,0.9423596937051942,0.8712229832935838,0.8611123944225922,0.5519993281813029,0.3517968506967133,0.6584864228799812,0.5469005943778535,0.7505824716846288,0.6071469714146804,0.6079216618710969,0.5707787524464488,0.6951622462662113,0.9124921457937732,144,4.3.41,Wisdom Traditions and Moral Craft,Faculty of Living Lore,Philosophy and Ethics,"The Loom of Lore: Threads from Ancients and Elders,Tales That Teach: Fable, Parable, and Prophecy",2,0.45,0.48298256831246195
Dwarf,flint,female,Elska,Dustmantle,Elska Dustmantle,20,no_qualifications,3,no_known_disabilities,0.4866905574763175,0.7131161793005096,0.6179962011155566,0.4633665973964026,0.3479639290099324,0.4366905574763176,0.7631161793005097,0.6179962011155566,0.4633665973964026,0.3979639290099324,0.6467241890095586,0.7062156196466988,0.8690337241213999,0.4343157904744479,0.7054559267216339,0.6629062029100273,0.6424142478328737,0.90253287572983,145,2.2.18,Herbal Practice and Energy Work,Faculty of Hearth and Transformation,Healing and Embodied Knowledge,"Plant Allies: Identification, Ethics, and Harvesting,Introduction to Energy Work: Hands, Breath, Field",2,0.8,0.8442395818626179
Elf,palm,female,Nyela,Reefgrace,Nyela Reefgrace,18,academic,6,,0.7899789604828231,0.5350847451494577,0.8327773740843818,0.8237152998614362,0.5477822757335755,0.9899789604828232,0.5850847451494576,0.9327773740843818,0.8237152998614362,0.5977822757335756,0.6844620088261804,0.8375880336696242,0.6320474938025344,0.977536607600483,0.7876298977299688,0.9139739785945564,0.7435009846121994,0.6219758290879491,146,1.1.2,Mutual Aid and Guild Governance,Faculty of Applied Forging,Community Labour & Cooperative Innovation,"History of Mutual Aid and Guild Traditions,Foundations of Self-Governance",2,0.45,0.5014903783232172
Dwarf,sandstone,male,Linric,Brickcloak,Linric Brickcloak,18,academic,8,"mental_health_disability,adhd,other_neurodivergence",0.8070140665228349,0.5948303934640912,0.6167222560762325,0.7829438284644351,0.272241144821952,0.9570140665228348,0.3948303934640911,0.5667222560762326,0.7829438284644351,0.822241144821952,0.6534862188156026,0.8051901283657954,0.6055401707738307,0.8559493632873568,0.6847930067259634,0.7399180980179549,0.8289992368753863,0.5878344990014194,147,1.1.2,Mutual Aid and Guild Governance,Faculty of Applied Forging,Community Labour & Cooperative Innovation,"History of Mutual Aid and Guild Traditions,Foundations of Self-Governance",2,0.9,0.9276763631237688
Dwarf,malachite,male,Bolvik,Glowhammer,Bolvik Glowhammer,18,vocational,3,no_known_disabilities,0.7749383470358608,0.844741330073951,0.4163535782313479,0.6942131420755298,0.3497596840523995,0.8749383470358608,0.894741330073951,0.5163535782313479,0.6942131420755298,0.3997596840523995,0.9060616114711272,0.967286551645414,0.6779939250030342,0.7585883277528661,0.8053378943819429,0.7105544475652847,0.7457074692616672,0.951197894336882,148,3.2.29,Intergenerational Learning,Faculty of Integrative Inquiry,Learning Futures,"Lifespan Learning: Cognitive, Emotional, and Social Perspectives,The Role of Elders, Children, and Peers in Knowledge Cultures",2,0.55,0.5703030805735564
Dwarf,malachite,male,Marrik,Furnaceborn,Marrik Furnaceborn,18,academic,6,no_known_disabilities,0.8246889452581196,0.7892456073671659,0.5904232423312088,0.6559259414561923,0.424810830993487,1.0,0.8392456073671658,0.6904232423312088,0.6559259414561923,0.474810830993487,0.7586145338987875,0.8464895995271635,0.5171509634218846,0.6673741724462925,0.945456764635386,0.6675130632604733,0.8826621419008005,0.9597895155566584,149,4.3.41,Wisdom Traditions and Moral Craft,Faculty of Living Lore,Philosophy and Ethics,"The Loom of Lore: Threads from Ancients and Elders,Tales That Teach: Fable, Parable, and Prophecy",2,0.8,0.8146458230371278
Dwarf,alabaster,female,Yana,Kindgrip,Yana Kindgrip,18,vocational,3,no_known_disabilities,0.7102597097376286,0.7566653370307618,0.3254873333280458,0.6928238384611333,0.6810173667560471,0.8102597097376286,0.8066653370307617,0.4254873333280458,0.6928238384611333,0.7310173667560471,0.7962015726593306,0.8672559491661941,0.6520401202159783,0.5630322984031799,0.6591353965728715,0.6498434808817213,0.7346414040132752,0.6550713567128968,150,2.2.19,Integrated Mind-Body,Faculty of Hearth and Transformation,Healing and Embodied Knowledge,"Embodied Learning: Movement, Stillness, Attention,Foundations of Somatic Awareness",2,0.5,0.5148100786329666
Elf,palm,female,Mireya,Lamentbloom,Mireya Lamentbloom,18,academic,7,,0.8859360343182414,0.6157735601727495,0.9325413007156376,0.7582763919816498,0.3776712824379418,1.0,0.6657735601727495,0.9825413007156374,0.7582763919816498,0.5276712824379419,0.7165830515850289,0.8505035523901464,0.5890294291458174,0.947594945234018,0.8557313207978552,0.8984205091392794,0.7538625385284607,0.5758441277208184,151,2.3.22,Mediation,Faculty of Hearth and Transformation,Hospitality and Conflict Holding,"Foundations of Mediation and Dialogue,Listening Between: Power, Culture, Emotion",2,0.9,0.9108291525792515
Elf,ash,male,Kaevan,Kindlebloom,Kaevan Kindlebloom,18,academic,8,no_known_disabilities,0.7313150474800624,0.5830262395853926,0.6674513551671323,0.50410070062366,0.6798603070379898,0.8813150474800623,0.6330262395853925,0.7174513551671322,0.50410070062366,0.8298603070379899,0.6842855587707914,0.6971096870837268,0.692481210370934,0.6639832409067595,0.8540555577801263,0.7729868914023456,0.7100774904099832,0.5717901054081284,152,1.2.4,Earth-Aligned Agriculture,Faculty of Applied Forging,Food and Sustenance Technologies,"Foundations of Permaculture and Ecological Design,Soil as System: Chemistry, Life, and Lore,Agroecology in Practice",3,0.8,0.8092142779385396
Dwarf,alabaster,male,Torrel,Hopegrind,Torrel Hopegrind,18,no_qualifications,4,no_known_disabilities,0.7375806868891293,0.6206921124147116,0.3274860557187291,0.714864944185255,0.6157226861532434,0.7875806868891292,0.5706921124147115,0.4274860557187291,0.714864944185255,0.7157226861532435,0.7199971828207116,0.8248120127893805,0.4889147203121399,0.6802951997829082,0.7983943683449024,0.7297835082274291,0.6867668743245102,0.467508387557531,153,4.2.36,Ritual and Recollection,Faculty of Living Lore,Oral Histories and Memorycraft,"Memory as Method: Ritual, Repetition, Refrain,Personal and Collective Recollection Practices",2,0.05,0.06099985914103558
Dwarf,slate,male,Torvik,Boltline,Torvik Boltline,18,academic,5,"adhd,dyslexia",0.5456902895240021,0.9282002001019654,0.3831089023454471,0.5639221222636396,0.4749232537688065,0.845690289524002,0.7782002001019652,0.5831089023454471,0.5639221222636396,0.6749232537688067,0.7577241839415922,0.5283171731985696,0.8778613343875387,0.5333293600768819,0.804343704439161,0.4953624836087458,0.5739554205538475,0.874273776675975,154,4.4.42,Consensus Systems in Hybrid Societies,Faculty of Living Lore,Political Myth and Governance,"Foundations of Consensus: Song, Circle, and Signal,Polylogic: Speaking Across Worlds and Logics",2,0.85,0.8628862091970796
Dwarf,bismuth,female,Thessa,Gildspark,Thessa Gildspark,18,academic,1,no_known_disabilities,0.8938217090636992,0.4464572722236464,0.6118999506700589,0.5627111112157767,0.6087384900822237,1.0,0.4964572722236464,0.8118999506700588,0.5627111112157767,0.5587384900822238,0.8052552757836843,0.6578806880733565,0.5207322569960033,0.8925062910818079,0.8742372644388167,0.56741398583601,0.9965448319189932,0.4557251560547987,155,3.3.31,Knowledge System Prototyping,Faculty of Integrative Inquiry,Transdisciplinary Design and Praxis,"Foundations of Systems and Frameworks,Mapping Knowledge: Visualisation and Vocabulary",2,0.95,0.9652627637891842
Dwarf,sandstone,female,Mara,Trestleborn,Mara Trestleborn,18,vocational,4,,0.6826700328927535,0.5996517566185198,0.8102425254005221,0.8295948898576159,0.4788210451547461,0.7826700328927535,0.6496517566185197,0.910242525400522,0.8295948898576159,0.5288210451547461,0.7992710287811359,0.6767138306679376,0.5727266892271123,0.9000175763806575,0.7070180316023567,0.8626665278933416,0.717181703503161,0.7376761567887865,156,1.1.2,Mutual Aid and Guild Governance,Faculty of Applied Forging,Community Labour & Cooperative Innovation,"History of Mutual Aid and Guild Traditions,Foundations of Self-Governance",2,0.9,0.9476001101677025
Dwarf,alabaster,male,Edrik,Hearthbind,Edrik Hearthbind,18,academic,7,"mental_health_disability,adhd",0.6991228215876162,0.5354715177416421,0.4861835637481328,0.8596713660284294,0.573164821902685,0.8491228215876161,0.3354715177416421,0.4361835637481328,0.8596713660284294,1.0,0.7549142217187995,0.8293427564274638,0.499689534460163,0.6925680762219891,0.7783848327660351,0.6823310254745139,0.8226876771872162,0.4720308989868668,157,2.1.17,"Care, Craft and Continuity",Faculty of Hearth and Transformation,"Education, Eldership, and Mentoring","Theories of Care: Interdependence and Responsibility,Craft as Teaching: Making with Meaning",2,0.6,0.6127146645319562
Dwarf,flint,female,Dagna,Slagvein,Dagna Slagvein,18,academic,7,no_known_disabilities,0.5441679822508805,0.6206261719267462,0.6649151765489933,0.4251492836927106,0.5633248214587874,0.6941679822508805,0.6706261719267461,0.7149151765489933,0.4251492836927106,0.7133248214587874,0.4669181170755994,0.5923337713223847,0.8905086204620499,0.533070570829545,0.8158540210114787,0.6670606543845061,0.4731659737121333,0.950733630961701,158,1.2.5,Mycelial Cultivation and Biotech,Faculty of Applied Forging,Food and Sustenance Technologies,"Introduction to Fungal Kingdoms,Growing Mediums and Spore Cultivation",2,0.9,0.8983459058537799
